type,title,country,date_added,release_year,rating,duration,listed_in,duration_minutes,rating_encoded,genres,Cluster
TV Show,Dragon's Dogma,,"September 17, 2020",2020,TV-MA,1 Season,"Anime Series, International TV Shows",60,11,"['Anime Series', 'International TV Shows']",1
Movie,GIMS: On the Record,France,"September 17, 2020",2020,TV-MA,96 min,"Documentaries, International Movies, Music & Musicals",96,11,"['Documentaries', 'International Movies', 'Music & Musicals']",3
Movie,Horrid Henry's Gross Day Out,United Kingdom,"September 17, 2020",2020,TV-Y,61 min,"Children & Family Movies, Comedies",61,13,"['Children & Family Movies', 'Comedies']",4
Movie,Nee Enge En Anbe,,"September 17, 2020",2014,TV-14,137 min,"International Movies, Thrillers",137,9,"['International Movies', 'Thrillers']",4
Movie,Residue,United States,"September 17, 2020",2020,TV-MA,90 min,"Dramas, Independent Movies",90,11,"['Dramas', 'Independent Movies']",4
TV Show,The Last Word,Germany,"September 17, 2020",2020,TV-MA,1 Season,"International TV Shows, TV Comedies, TV Dramas",60,11,"['International TV Shows', 'TV Comedies', 'TV Dramas']",1
TV Show,Baby,Italy,"September 16, 2020",2020,TV-MA,3 Seasons,"International TV Shows, TV Dramas, Teen TV Shows",180,11,"['International TV Shows', 'TV Dramas', 'Teen TV Shows']",1
TV Show,Challenger,United States,"September 16, 2020",2020,TV-14,1 Season,"Docuseries, Science & Nature TV",60,9,"['Docuseries', 'Science & Nature TV']",1
TV Show,Criminal: UK,"United Kingdom, France, Germany, Spain","September 16, 2020",2020,TV-MA,2 Seasons,"British TV Shows, Crime TV Shows, International TV Shows",120,11,"['British TV Shows', 'Crime TV Shows', 'International TV Shows']",1
Movie,Dr Jason Leong Hashtag Blessed,,"September 16, 2020",2018,TV-MA,69 min,Stand-Up Comedy,69,11,['Stand-Up Comedy'],0
TV Show,Signs,Poland,"September 16, 2020",2020,TV-MA,2 Seasons,"Crime TV Shows, International TV Shows, TV Dramas",120,11,"['Crime TV Shows', 'International TV Shows', 'TV Dramas']",1
TV Show,Sing On!,United States,"September 16, 2020",2020,TV-PG,1 Season,Reality TV,60,12,['Reality TV'],1
Movie,The Devil All The Time,United States,"September 16, 2020",2020,R,139 min,"Dramas, Thrillers",139,8,"['Dramas', 'Thrillers']",4
Movie,The Paramedic,Spain,"September 16, 2020",2020,TV-MA,94 min,"Dramas, International Movies, Thrillers",94,11,"['Dramas', 'International Movies', 'Thrillers']",4
Movie,The Take,"United Kingdom, France, United States, Belgium, Luxembourg, China, Germany","September 16, 2020",2016,R,92 min,"Action & Adventure, International Movies",92,8,"['Action & Adventure', 'International Movies']",4
TV Show,Call the Midwife,United Kingdom,"September 15, 2020",2020,TV-MA,9 Seasons,"British TV Shows, International TV Shows, TV Dramas",540,11,"['British TV Shows', 'International TV Shows', 'TV Dramas']",1
Movie,Hope Frozen: A Quest to Live Twice,"Thailand, United States","September 15, 2020",2020,TV-PG,80 min,"Documentaries, International Movies",80,12,"['Documentaries', 'International Movies']",3
Movie,Michael McIntyre: Showman,United Kingdom,"September 15, 2020",2020,TV-MA,63 min,Stand-Up Comedy,63,11,['Stand-Up Comedy'],0
Movie,Raising Victor Vargas,"France, United States","September 15, 2020",2002,R,88 min,"Dramas, Independent Movies, Romantic Movies",88,8,"['Dramas', 'Independent Movies', 'Romantic Movies']",4
TV Show,Taco Chronicles,United States,"September 15, 2020",2020,TV-MA,2 Seasons,"Docuseries, International TV Shows, Reality TV",120,11,"['Docuseries', 'International TV Shows', 'Reality TV']",1
Movie,The Smurfs 2,"United States, France, Canada, Belgium","September 15, 2020",2013,PG,105 min,"Children & Family Movies, Comedies",105,6,"['Children & Family Movies', 'Comedies']",4
Movie,Wish Upon a Unicorn,,"September 15, 2020",2020,PG,93 min,Children & Family Movies,93,6,['Children & Family Movies'],4
Movie,Lara and the Beat,Nigeria,"September 14, 2020",2018,TV-MA,140 min,"Dramas, International Movies, Music & Musicals",140,11,"['Dramas', 'International Movies', 'Music & Musicals']",4
TV Show,Buddi,"United Kingdom, China","September 11, 2020",2020,TV-Y,2 Seasons,"British TV Shows, Kids' TV",120,13,"['British TV Shows', ""Kids' TV""]",1
Movie,Dad Wanted,Mexico,"September 11, 2020",2020,TV-14,103 min,"Children & Family Movies, Comedies, Dramas",103,9,"['Children & Family Movies', 'Comedies', 'Dramas']",4
TV Show,Family Business,France,"September 11, 2020",2020,TV-MA,2 Seasons,"International TV Shows, TV Comedies, TV Dramas",120,11,"['International TV Shows', 'TV Comedies', 'TV Dramas']",1
TV Show,Girlfriends,United States,"September 11, 2020",2007,TV-14,8 Seasons,TV Comedies,480,9,['TV Comedies'],1
Movie,How to Train Your Dragon 2,United States,"September 11, 2020",2014,PG,102 min,Children & Family Movies,102,6,['Children & Family Movies'],4
Movie,Pets United,"Germany, China, United Kingdom","September 11, 2020",2020,TV-Y7,93 min,"Children & Family Movies, Comedies",93,14,"['Children & Family Movies', 'Comedies']",4
TV Show,The Barrier,Spain,"September 11, 2020",2020,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Dramas",60,11,"['International TV Shows', 'Spanish-Language TV Shows', 'TV Dramas']",1
TV Show,The Duchess,United Kingdom,"September 11, 2020",2020,TV-MA,1 Season,"British TV Shows, International TV Shows, TV Comedies",60,11,"['British TV Shows', 'International TV Shows', 'TV Comedies']",1
Movie,Wonho Chung: Live in New York,,"September 11, 2020",2014,TV-14,69 min,Stand-Up Comedy,69,9,['Stand-Up Comedy'],0
Movie,Aapla Manus,India,"September 10, 2020",2018,TV-14,133 min,"Dramas, International Movies, Thrillers",133,9,"['Dramas', 'International Movies', 'Thrillers']",4
Movie,Ani... Dr. Kashinath Ghanekar,India,"September 10, 2020",2018,TV-14,157 min,"Dramas, International Movies",157,9,"['Dramas', 'International Movies']",4
Movie,Bhai: Vyakti Ki Valli - Poorvardha,India,"September 10, 2020",2019,TV-14,116 min,"Dramas, International Movies",116,9,"['Dramas', 'International Movies']",4
Movie,Bhai: Vyakti Ki Valli - Uttarardh,India,"September 10, 2020",2019,TV-PG,112 min,"Dramas, International Movies",112,12,"['Dramas', 'International Movies']",4
Movie,Cycle,India,"September 10, 2020",2018,TV-PG,96 min,"Comedies, Dramas, International Movies",96,12,"['Comedies', 'Dramas', 'International Movies']",4
Movie,Dhh,India,"September 10, 2020",2017,TV-G,127 min,"Children & Family Movies, Dramas, International Movies",127,10,"['Children & Family Movies', 'Dramas', 'International Movies']",4
TV Show,Greenleaf,United States,"September 10, 2020",2020,TV-14,5 Seasons,TV Dramas,300,9,['TV Dramas'],1
TV Show,Julie and the Phantoms,United States,"September 10, 2020",2020,TV-G,1 Season,"Kids' TV, TV Comedies",60,10,"[""Kids' TV"", 'TV Comedies']",1
Movie,Kaagar,India,"September 10, 2020",2019,TV-MA,130 min,"Dramas, International Movies, Romantic Movies",130,11,"['Dramas', 'International Movies', 'Romantic Movies']",4
Movie,Night of Knots,Turkey,"September 10, 2020",2018,TV-MA,93 min,"Comedies, International Movies, Romantic Movies",93,11,"['Comedies', 'International Movies', 'Romantic Movies']",4
Movie,PhotoCopy,India,"September 10, 2020",2016,TV-14,138 min,"Comedies, Dramas, International Movies",138,9,"['Comedies', 'Dramas', 'International Movies']",4
Movie,Poshter Girl,India,"September 10, 2020",2016,TV-14,138 min,"Comedies, Dramas, International Movies",138,9,"['Comedies', 'Dramas', 'International Movies']",4
Movie,Satria Heroes: Revenge of the Darkness,Indonesia,"September 10, 2020",2017,TV-G,92 min,Children & Family Movies,92,10,['Children & Family Movies'],4
Movie,Son Of Adam,Egypt,"September 10, 2020",2018,TV-14,110 min,"Dramas, International Movies, Thrillers",110,9,"['Dramas', 'International Movies', 'Thrillers']",4
Movie,The Babysitter: Killer Queen,United States,"September 10, 2020",2020,TV-MA,102 min,"Comedies, Horror Movies",102,11,"['Comedies', 'Horror Movies']",4
Movie,Cargo,India,"September 9, 2020",2020,TV-14,113 min,"Comedies, Dramas, Independent Movies",113,9,"['Comedies', 'Dramas', 'Independent Movies']",4
Movie,Cuties,France,"September 9, 2020",2020,TV-MA,96 min,"Dramas, International Movies",96,11,"['Dramas', 'International Movies']",4
TV Show,Get Organized with The Home Edit,United States,"September 9, 2020",2020,TV-PG,1 Season,Reality TV,60,12,['Reality TV'],1
TV Show,La Línea: Shadow of Narco,Spain,"September 9, 2020",2020,TV-MA,1 Season,"Crime TV Shows, Docuseries, International TV Shows",60,11,"['Crime TV Shows', 'Docuseries', 'International TV Shows']",1
Movie,So Much Love to Give,Argentina,"September 9, 2020",2020,TV-14,108 min,"Comedies, International Movies, Music & Musicals",108,9,"['Comedies', 'International Movies', 'Music & Musicals']",4
Movie,The Social Dilemma,United States,"September 9, 2020",2020,PG-13,94 min,Documentaries,94,7,['Documentaries'],3
Movie,#Alive,South Korea,"September 8, 2020",2020,TV-MA,99 min,"Horror Movies, International Movies, Thrillers",99,11,"['Horror Movies', 'International Movies', 'Thrillers']",4
TV Show,Record of Youth,South Korea,"September 8, 2020",2020,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",60,9,"['International TV Shows', 'Romantic TV Shows', 'TV Dramas']",1
Movie,My Octopus Teacher,South Africa,"September 7, 2020",2020,TV-G,86 min,"Children & Family Movies, Documentaries, International Movies",86,10,"['Children & Family Movies', 'Documentaries', 'International Movies']",3
Movie,Toll Booth,Turkey,"September 7, 2020",2010,TV-MA,98 min,"Dramas, Independent Movies, International Movies",98,11,"['Dramas', 'Independent Movies', 'International Movies']",4
TV Show,Transformers: Cyberverse,,"September 7, 2020",2020,TV-Y7,2 Seasons,Kids' TV,120,14,"[""Kids' TV""]",1
Movie,"Waiting for ""Superman""",United States,"September 7, 2020",2010,PG,111 min,Documentaries,111,6,['Documentaries'],3
TV Show,Cleverman,"Australia, New Zealand, United States","September 5, 2020",2017,TV-MA,1 Season,"TV Dramas, TV Sci-Fi & Fantasy, TV Thrillers",60,11,"['TV Dramas', 'TV Sci-Fi & Fantasy', 'TV Thrillers']",1
Movie,Villain,United Kingdom,"September 5, 2020",2020,R,97 min,Dramas,97,8,['Dramas'],4
TV Show,Away,United States,"September 4, 2020",2020,TV-14,1 Season,"Romantic TV Shows, TV Dramas, TV Sci-Fi & Fantasy",60,9,"['Romantic TV Shows', 'TV Dramas', 'TV Sci-Fi & Fantasy']",1
Movie,I'm Thinking of Ending Things,United States,"September 4, 2020",2020,R,135 min,"Dramas, Independent Movies",135,8,"['Dramas', 'Independent Movies']",4
Movie,Kandasamys: The Wedding,South Africa,"September 4, 2020",2019,TV-14,93 min,"Comedies, Dramas, International Movies",93,9,"['Comedies', 'Dramas', 'International Movies']",4
TV Show,Spirit Riding Free: Riding Academy,United States,"September 4, 2020",2020,TV-Y7,2 Seasons,Kids' TV,120,14,"[""Kids' TV""]",1
Movie,The Lost Okoroshi,Nigeria,"September 4, 2020",2019,TV-MA,94 min,"Comedies, Dramas, Independent Movies",94,11,"['Comedies', 'Dramas', 'Independent Movies']",4
Movie,You're My Boss,Philippines,"September 4, 2020",2015,TV-14,117 min,"Comedies, International Movies, Romantic Movies",117,9,"['Comedies', 'International Movies', 'Romantic Movies']",4
Movie,Afonso Padilha: Classless,Brazil,"September 3, 2020",2020,TV-MA,63 min,Stand-Up Comedy,63,11,['Stand-Up Comedy'],0
Movie,Ave Maryam,Indonesia,"September 3, 2020",2018,TV-PG,73 min,"Dramas, Independent Movies, International Movies",73,12,"['Dramas', 'Independent Movies', 'International Movies']",4
Movie,"Love, Guaranteed",United States,"September 3, 2020",2020,TV-PG,91 min,"Comedies, Independent Movies, Romantic Movies",91,12,"['Comedies', 'Independent Movies', 'Romantic Movies']",4
TV Show,Young Wallander,United Kingdom,"September 3, 2020",2020,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",60,11,"['Crime TV Shows', 'International TV Shows', 'TV Dramas']",1
TV Show,Chef's Table: BBQ,United States,"September 2, 2020",2020,TV-14,1 Season,"Docuseries, Reality TV",60,9,"['Docuseries', 'Reality TV']",1
Movie,Freaks – You're One of Us,Germany,"September 2, 2020",2020,TV-MA,93 min,"Dramas, Independent Movies, International Movies",93,11,"['Dramas', 'Independent Movies', 'International Movies']",4
Movie,Hotel for Dogs,"Germany, United States","September 2, 2020",2009,PG,101 min,"Children & Family Movies, Comedies",101,6,"['Children & Family Movies', 'Comedies']",4
Movie,Sky Tour: The Movie,Vietnam,"September 2, 2020",2020,TV-G,93 min,"Documentaries, International Movies, Music & Musicals",93,10,"['Documentaries', 'International Movies', 'Music & Musicals']",3
TV Show,The Witcher: A Look Inside the Episodes,,"September 2, 2020",2020,TV-MA,1 Season,"Docuseries, TV Sci-Fi & Fantasy",60,11,"['Docuseries', 'TV Sci-Fi & Fantasy']",1
Movie,Adrift,"Hong Kong, Iceland, United States","September 1, 2020",2018,PG-13,96 min,"Action & Adventure, Dramas, Romantic Movies",96,7,"['Action & Adventure', 'Dramas', 'Romantic Movies']",4
Movie,Always Be My Maybe,Philippines,"September 1, 2020",2016,TV-14,112 min,"International Movies, Romantic Movies",112,9,"['International Movies', 'Romantic Movies']",4
Movie,Barbie Princess Adventure,Netherlands,"September 1, 2020",2020,TV-Y,72 min,"Children & Family Movies, Music & Musicals",72,13,"['Children & Family Movies', 'Music & Musicals']",4
TV Show,Blue Exorcist,Japan,"September 1, 2020",2017,TV-MA,2 Seasons,"Anime Series, International TV Shows",120,11,"['Anime Series', 'International TV Shows']",1
TV Show,Bookmarks,United States,"September 1, 2020",2020,TV-Y,1 Season,Kids' TV,60,13,"[""Kids' TV""]",1
TV Show,Borgen,Denmark,"September 1, 2020",2012,TV-MA,3 Seasons,"International TV Shows, TV Dramas",180,11,"['International TV Shows', 'TV Dramas']",1
Movie,Children of the Sea,"Japan, United States","September 1, 2020",2019,TV-PG,112 min,"Anime Features, International Movies",112,12,"['Anime Features', 'International Movies']",4
TV Show,Erased,Japan,"September 1, 2020",2016,TV-14,1 Season,"Anime Series, International TV Shows, TV Thrillers",60,9,"['Anime Series', 'International TV Shows', 'TV Thrillers']",1
Movie,Fate/Grand Order -First Order-,Japan,"September 1, 2020",2016,TV-14,72 min,"Action & Adventure, Anime Features, International Movies",72,9,"['Action & Adventure', 'Anime Features', 'International Movies']",4
TV Show,Felipe Esparza: Bad Decisions,United States,"September 1, 2020",2020,TV-MA,1 Season,"Stand-Up Comedy & Talk Shows, TV Comedies",60,11,"['Stand-Up Comedy & Talk Shows', 'TV Comedies']",1
TV Show,H,France,"September 1, 2020",2002,TV-MA,4 Seasons,"International TV Shows, TV Comedies",240,11,"['International TV Shows', 'TV Comedies']",1
TV Show,Heidi,"France, Australia, Germany","September 1, 2020",2020,TV-Y7,1 Season,Kids' TV,60,14,"[""Kids' TV""]",1
Movie,Puss in Boots,United States,"September 1, 2020",2011,PG,92 min,"Children & Family Movies, Comedies",92,6,"['Children & Family Movies', 'Comedies']",4
Movie,Sex Drive,United States,"September 1, 2020",2008,R,109 min,Comedies,109,8,['Comedies'],4
TV Show,"Sister, Sister",United States,"September 1, 2020",1998,TV-PG,6 Seasons,"TV Comedies, Teen TV Shows",360,12,"['TV Comedies', 'Teen TV Shows']",1
Movie,Soldier,India,"September 1, 2020",1998,TV-14,155 min,"Comedies, Dramas, International Movies",155,9,"['Comedies', 'Dramas', 'International Movies']",4
Movie,"Take the Ball, Pass the Ball",Spain,"September 1, 2020",2018,TV-MA,109 min,"Documentaries, International Movies, Sports Movies",109,11,"['Documentaries', 'International Movies', 'Sports Movies']",3
Movie,The Boss Baby: Get That Baby!,United States,"September 1, 2020",2020,TV-Y7,115 min,"Children & Family Movies, Comedies",115,14,"['Children & Family Movies', 'Comedies']",4
Movie,The Match,Italy,"September 1, 2020",2020,TV-MA,97 min,"Dramas, International Movies, Sports Movies",97,11,"['Dramas', 'International Movies', 'Sports Movies']",4
TV Show,The Promised Neverland,Japan,"September 1, 2020",2019,TV-14,1 Season,"Anime Series, International TV Shows, TV Thrillers",60,9,"['Anime Series', 'International TV Shows', 'TV Thrillers']",1
Movie,The Smurfs,"United States, Belgium, Canada, France","September 1, 2020",2011,PG,103 min,"Children & Family Movies, Comedies",103,6,"['Children & Family Movies', 'Comedies']",4
TV Show,Thomas and Friends,United Kingdom,"September 1, 2020",2020,TV-Y,2 Seasons,"British TV Shows, Classic & Cult TV, Kids' TV",120,13,"['British TV Shows', 'Classic & Cult TV', ""Kids' TV""]",1
Movie,True: Friendship Day,Canada,"September 1, 2020",2020,TV-Y,24 min,Children & Family Movies,24,13,['Children & Family Movies'],4
Movie,Maniyarayile Ashokan,India,"August 31, 2020",2020,TV-14,110 min,"Comedies, International Movies, Romantic Movies",110,9,"['Comedies', 'International Movies', 'Romantic Movies']",4
Movie,The Debt Collector 2,United States,"August 31, 2020",2020,TV-MA,97 min,Action & Adventure,97,11,['Action & Adventure'],4
Movie,All Together Now,United States,"August 29, 2020",2020,PG,94 min,Dramas,94,6,['Dramas'],4
TV Show,I AM A KILLER: RELEASED,"United Kingdom, United States","August 28, 2020",2020,TV-MA,1 Season,"British TV Shows, Crime TV Shows, Docuseries",60,11,"['British TV Shows', 'Crime TV Shows', 'Docuseries']",1
TV Show,Masaba Masaba,India,"August 28, 2020",2020,TV-MA,1 Season,"International TV Shows, TV Comedies, TV Dramas",60,11,"['International TV Shows', 'TV Comedies', 'TV Dramas']",1
Movie,Santana,"South Africa, Angola","August 28, 2020",2020,TV-MA,107 min,"Action & Adventure, International Movies",107,11,"['Action & Adventure', 'International Movies']",4
Movie,Unknown Origins,Spain,"August 28, 2020",2020,TV-MA,97 min,"International Movies, Thrillers",97,11,"['International Movies', 'Thrillers']",4
TV Show,Aggretsuko,Japan,"August 27, 2020",2020,TV-14,3 Seasons,"Anime Series, International TV Shows",180,9,"['Anime Series', 'International TV Shows']",1
Movie,Edge of Seventeen,United States,"August 27, 2020",1998,TV-MA,103 min,"Comedies, Dramas, Independent Movies",103,11,"['Comedies', 'Dramas', 'Independent Movies']",4
Movie,The Bridge Curse,Taiwan,"August 27, 2020",2020,TV-MA,88 min,"Horror Movies, International Movies, Thrillers",88,11,"['Horror Movies', 'International Movies', 'Thrillers']",4
Movie,The Young Messiah,United States,"August 27, 2020",2016,PG-13,111 min,"Dramas, Faith & Spirituality",111,7,"['Dramas', 'Faith & Spirituality']",4
TV Show,Her Mother's Killer,Colombia,"August 26, 2020",2020,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Dramas",60,11,"['International TV Shows', 'Spanish-Language TV Shows', 'TV Dramas']",1
Movie,Lingua Franca,"United States, Philippines","August 26, 2020",2019,TV-MA,94 min,"Dramas, International Movies, LGBTQ Movies",94,11,"['Dramas', 'International Movies', 'LGBTQ Movies']",4
Movie,Making The Witcher,United States,"August 26, 2020",2020,TV-MA,33 min,Documentaries,33,11,['Documentaries'],3
TV Show,Million Dollar Beach House,United States,"August 26, 2020",2020,TV-MA,1 Season,Reality TV,60,11,['Reality TV'],1
Movie,Rising Phoenix,United Kingdom,"August 26, 2020",2020,PG-13,107 min,"Documentaries, International Movies, Sports Movies",107,7,"['Documentaries', 'International Movies', 'Sports Movies']",3
TV Show,Emily's Wonder Lab,United States,"August 25, 2020",2020,TV-Y,1 Season,Kids' TV,60,13,"[""Kids' TV""]",1
TV Show,Trinkets,United States,"August 25, 2020",2020,TV-MA,2 Seasons,"TV Dramas, Teen TV Shows",120,11,"['TV Dramas', 'Teen TV Shows']",1
Movie,Septembers of Shiraz,United States,"August 24, 2020",2016,PG-13,110 min,"Dramas, Thrillers",110,7,"['Dramas', 'Thrillers']",4
TV Show,Baewatch: Parental Guidance,,"August 22, 2020",2019,TV-MA,1 Season,"British TV Shows, Reality TV, Romantic TV Shows",60,11,"['British TV Shows', 'Reality TV', 'Romantic TV Shows']",1
TV Show,Ojos in d' House,Nigeria,"August 22, 2020",2013,TV-G,1 Season,"International TV Shows, TV Comedies",60,10,"['International TV Shows', 'TV Comedies']",1
Movie,Class of '83,India,"August 21, 2020",2020,TV-14,98 min,"Dramas, International Movies, Thrillers",98,9,"['Dramas', 'International Movies', 'Thrillers']",4
Movie,Dark Forces,Mexico,"August 21, 2020",2020,TV-MA,81 min,"Horror Movies, Independent Movies, International Movies",81,11,"['Horror Movies', 'Independent Movies', 'International Movies']",4
TV Show,Hoops,United States,"August 21, 2020",2020,TV-MA,1 Season,TV Comedies,60,11,['TV Comedies'],1
TV Show,Rust Valley Restorers,Canada,"August 21, 2020",2020,TV-14,3 Seasons,"International TV Shows, Reality TV",180,9,"['International TV Shows', 'Reality TV']",1
Movie,The Sleepover,United States,"August 21, 2020",2020,TV-PG,104 min,"Action & Adventure, Children & Family Movies, Comedies",104,12,"['Action & Adventure', 'Children & Family Movies', 'Comedies']",4
TV Show,Goedam,South Korea,"August 20, 2020",2020,TV-MA,1 Season,"International TV Shows, TV Horror, TV Mysteries",60,11,"['International TV Shows', 'TV Horror', 'TV Mysteries']",1
Movie,John Was Trying to Contact Aliens,United States,"August 20, 2020",2020,TV-PG,17 min,"Documentaries, LGBTQ Movies",17,12,"['Documentaries', 'LGBTQ Movies']",3
Movie,Scarecrow,Egypt,"August 20, 2020",2019,TV-MA,121 min,"Comedies, International Movies",121,11,"['Comedies', 'International Movies']",4
Movie,The Crimes That Bind,Argentina,"August 20, 2020",2020,TV-14,100 min,"Dramas, International Movies",100,9,"['Dramas', 'International Movies']",4
TV Show,DeMarcus Family Rules,United States,"August 19, 2020",2020,TV-14,1 Season,Reality TV,60,9,['Reality TV'],1
TV Show,High Score,United States,"August 19, 2020",2020,TV-14,1 Season,"Docuseries, Science & Nature TV",60,9,"['Docuseries', 'Science & Nature TV']",1
Movie,Little Singham: Kaal Ka Badla,,"August 19, 2020",2020,TV-Y7,70 min,"Children & Family Movies, Comedies",70,14,"['Children & Family Movies', 'Comedies']",4
Movie,Drunk Parents,United States,"August 18, 2020",2019,R,97 min,Comedies,97,8,['Comedies'],4
Movie,Meet the In-Laws,Nigeria,"August 18, 2020",2017,TV-PG,75 min,"Comedies, Dramas, International Movies",75,12,"['Comedies', 'Dramas', 'International Movies']",4
Movie,Crazy Awesome Teachers,Indonesia,"August 17, 2020",2020,TV-PG,102 min,"Comedies, Dramas, International Movies",102,12,"['Comedies', 'Dramas', 'International Movies']",4
TV Show,Glitch Techs,United States,"August 17, 2020",2020,TV-Y7,2 Seasons,Kids' TV,120,14,"[""Kids' TV""]",1
Movie,Islands of Faith,Indonesia,"August 17, 2020",2018,TV-PG,88 min,"Documentaries, Faith & Spirituality, International Movies",88,12,"['Documentaries', 'Faith & Spirituality', 'International Movies']",3
Movie,Les Misérables,"United Kingdom, United States","August 16, 2020",2012,PG-13,158 min,"Dramas, International Movies, Music & Musicals",158,7,"['Dramas', 'International Movies', 'Music & Musicals']",4
Movie,Seventh Son,"United States, United Kingdom, Canada, China","August 16, 2020",2014,PG-13,102 min,"Action & Adventure, Sci-Fi & Fantasy",102,7,"['Action & Adventure', 'Sci-Fi & Fantasy']",4
TV Show,Stranger,South Korea,"August 16, 2020",2020,TV-MA,2 Seasons,"Crime TV Shows, International TV Shows, Korean TV Shows",120,11,"['Crime TV Shows', 'International TV Shows', 'Korean TV Shows']",2
TV Show,Dérè: An African Tale,,"August 15, 2020",2016,TV-PG,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",60,12,"['International TV Shows', 'Romantic TV Shows', 'TV Dramas']",1
TV Show,Rita,Denmark,"August 15, 2020",2020,TV-MA,5 Seasons,"International TV Shows, TV Comedies, TV Dramas",300,11,"['International TV Shows', 'TV Comedies', 'TV Dramas']",1
TV Show,Takki,Saudi Arabia,"August 15, 2020",2014,TV-14,2 Seasons,"International TV Shows, TV Dramas",120,9,"['International TV Shows', 'TV Dramas']",1
Movie,What's Your Raashee?,India,"August 15, 2020",2009,TV-PG,203 min,"Comedies, International Movies, Music & Musicals",203,12,"['Comedies', 'International Movies', 'Music & Musicals']",4
TV Show,3%,Brazil,"August 14, 2020",2020,TV-MA,4 Seasons,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy",240,11,"['International TV Shows', 'TV Dramas', 'TV Sci-Fi & Fantasy']",1
Movie,Beyond the Boundary: ICC Women's T20 World Cup Australia 2020,,"August 14, 2020",2020,TV-G,59 min,"Documentaries, International Movies, Sports Movies",59,10,"['Documentaries', 'International Movies', 'Sports Movies']",3
Movie,Fearless,Canada,"August 14, 2020",2020,TV-Y7,92 min,"Children & Family Movies, Comedies",92,14,"['Children & Family Movies', 'Comedies']",4
Movie,Nigerian Prince,"United States, Nigeria","August 14, 2020",2018,TV-MA,104 min,"Dramas, Independent Movies",104,11,"['Dramas', 'Independent Movies']",4
Movie,Octonauts & the Caves of Sac Actun,United Kingdom,"August 14, 2020",2020,TV-Y,72 min,Children & Family Movies,72,13,['Children & Family Movies'],4
Movie,Project Power,United States,"August 14, 2020",2020,R,113 min,Action & Adventure,113,8,['Action & Adventure'],4
TV Show,Teenage Bounty Hunters,United States,"August 14, 2020",2020,TV-MA,1 Season,"Crime TV Shows, TV Comedies, TV Dramas",60,11,"['Crime TV Shows', 'TV Comedies', 'TV Dramas']",1
TV Show,The Great Heist,Colombia,"August 14, 2020",2020,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",60,11,"['Crime TV Shows', 'International TV Shows', 'Spanish-Language TV Shows']",1
TV Show,The Legend of Korra,United States,"August 14, 2020",2014,TV-Y7,4 Seasons,"Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy",240,14,"[""Kids' TV"", 'TV Action & Adventure', 'TV Sci-Fi & Fantasy']",1
TV Show,Zoids Wild,Japan,"August 14, 2020",2018,TV-Y7,1 Season,"Anime Series, Kids' TV",60,14,"['Anime Series', ""Kids' TV""]",1
Movie,An Easy Girl,France,"August 13, 2020",2019,TV-MA,93 min,"Comedies, Dramas, International Movies",93,11,"['Comedies', 'Dramas', 'International Movies']",4
Movie,Christine,"United Kingdom, United States","August 13, 2020",2016,R,119 min,"Dramas, Independent Movies",119,8,"['Dramas', 'Independent Movies']",4
Movie,Simon Killer,"United States, France","August 13, 2020",2012,TV-MA,105 min,"Dramas, Independent Movies, Thrillers",105,11,"['Dramas', 'Independent Movies', 'Thrillers']",4
TV Show,(Un)Well,United States,"August 12, 2020",2020,TV-MA,1 Season,Reality TV,60,11,['Reality TV'],1
Movie,Gunjan Saxena: The Kargil Girl,India,"August 12, 2020",2020,TV-14,113 min,"Action & Adventure, Dramas, International Movies",113,9,"['Action & Adventure', 'Dramas', 'International Movies']",4
Movie,Mr. Peabody & Sherman,United States,"August 11, 2020",2014,PG,93 min,"Children & Family Movies, Comedies, Sci-Fi & Fantasy",93,6,"['Children & Family Movies', 'Comedies', 'Sci-Fi & Fantasy']",4
Movie,"Rob Schneider: Asian Momma, Mexican Kids",United States,"August 11, 2020",2020,TV-MA,44 min,Stand-Up Comedy,44,11,['Stand-Up Comedy'],0
TV Show,GAME ON: A Comedy Crossover Event,United States,"August 10, 2020",2020,TV-G,1 Season,"Kids' TV, TV Comedies",60,10,"[""Kids' TV"", 'TV Comedies']",1
TV Show,Terrace House: Tokyo 2019-2020,Japan,"August 10, 2020",2019,TV-MA,2 Seasons,"International TV Shows, Reality TV",120,11,"['International TV Shows', 'Reality TV']",1
Movie,The Lost Husband,United States,"August 10, 2020",2020,PG-13,110 min,"Dramas, Romantic Movies",110,7,"['Dramas', 'Romantic Movies']",4
Movie,Diamonds in the Sky,,"August 8, 2020",2018,TV-14,113 min,"Dramas, International Movies",113,9,"['Dramas', 'International Movies']",4
TV Show,The Governor,Nigeria,"August 8, 2020",2016,TV-14,1 Season,"International TV Shows, TV Dramas",60,9,"['International TV Shows', 'TV Dramas']",1
